model,model_key,qid,accuracy,faithfulness,relevancy,latency_s,n_tool_calls,error,answer
GPT-5.5,gpt-5.5,q01,1,1.0,1.0,5.824933958007023,1,,"In **GRPO (Group Relative Policy Optimization)**, for a given prompt/query, you sample a group of completions and score each one with a reward. The advantage for completion \(i\) is computed relative to the rewards of the other completions in the same group:

\[
\hat A_i = \frac{R_i - \text{mean}(R_1,\dots,R_G)}{\text{std}(R_1,\dots,R_G)}
\]

Sometimes it’s described more simply as:

\[
\hat A_i = R_i - \text{group mean reward}
\]

So a completion gets positive advantage if it scores better than the group average, and negative advantage if it scores worse.

Compared to **PPO**, GRPO eliminates the need for a learned **value network / critic model**. PPO typically trains a separate value model to estimate advantages, while GRPO uses the group-relative reward baseline instead."
GPT-5.5,gpt-5.5,q02,1,1.0,1.0,17.398091083043255,1,,"**DAPO** and **Dr. GRPO** are proposed fixes to a length-bias problem in **GRPO** training.

In vanilla **GRPO**, each sampled output is normalized by its own length:

\[
\frac{1}{G}\sum_i \frac{1}{|o_i|}\sum_t(\cdots)
\]

That means tokens in short outputs get larger gradient weight than tokens in long outputs. For negative-advantage outputs, this creates a bad incentive:

- short wrong answers are penalized strongly;
- long wrong answers are penalized weakly.

So the model can learn to make incorrect answers longer, contributing to runaway response-length growth during RL.

## DAPO

**DAPO** fixes this by normalizing over the **total number of tokens in the group**, rather than normalizing each output separately:

\[
\frac{1}{G}\sum_i \frac{1}{|o_i|}\sum_t
\quad\rightarrow\quad
\frac{1}{\sum_i |o_i|}\sum_i\sum_t
\]

So every token has equal weight regardless of which completion it belongs to. DAPO also introduces an asymmetric clipping tweak often called **clip-higher**, which raises the upper PPO/GRPO clipping bound to help rare good tokens increase in probability.

## Dr. GRPO

**Dr. GRPO**, short for **“GRPO Done Right,”** fixes the same length-normalization issue more directly by dropping the per-output length divisor entirely:

\[
\frac{1}{G}\sum_i \frac{1}{|o_i|}\sum_t
\quad\rightarrow\quad
\frac{1}{G}\sum_i\sum_t
\]

So longer outputs are no longer automatically downweighted token-by-token.

## What problem do they fix?

They fix the **GRPO length-normalization bias**: the `1 / |o_i|` factor makes gradients smaller for longer completions, which especially under-penalizes long bad answers. This encourages incorrect responses to become unnecessarily long. DAPO and Dr. GRPO remove that incentive, keeping wrong-answer lengths flatter while preserving reward improvements with better token efficiency."
GPT-5.5,gpt-5.5,q03,1,1.0,1.0,5.949716291041113,1,,"The DeepSeek R1 training pipeline has **five stages**.

**Stage 2** is **small-scale cold-start supervised fine-tuning (SFT)**: a few thousand long chain-of-thought examples are generated by R1-Zero and then **rewritten by humans** to improve formatting, readability, and language consistency. This provides a clean supervised “anchor” before reinforcement learning."
GPT-5.5,gpt-5.5,q04,1,1.0,1.0,10.529021291993558,1,,"DeepSeek R1-Zero uses a **verifiable reward** made of:

- **Format reward**: checks whether the output follows the required reasoning/answer structure.
- **Accuracy reward**: checks whether the final answer is correct, e.g. via ground-truth math answers or code test cases.

So, roughly:

**Reward = format reward + accuracy reward**

It does **not** use a learned reward model.

Its prompt template requires the model to put:

- reasoning inside **`<think> ... </think>`**
- final answer inside **`<answer> ... </answer>`**"
GPT-5.5,gpt-5.5,q05,1,1.0,1.0,4.165583249996416,1,,"Two intuitions:

1. **Decomposition:** Chain-of-thought breaks a hard problem into smaller subproblems. Even if the full problem is unfamiliar, the model may recognize and solve the smaller pieces using patterns seen during training.

2. **More test-time compute:** Each generated reasoning token requires another forward pass. By producing intermediate reasoning before the final answer, the model effectively gets more computation time to work through the problem."
GPT-5.5,gpt-5.5,q06,1,1.0,1.0,4.208089333958924,1,,"Two techniques are:

1. **Dynamic budget allocation** — adapt the amount of reasoning allowed based on prompt difficulty, such as using a classifier to decide whether a task needs low or high thinking effort.

2. **Budget forcing** — steer the model’s reasoning length during generation, for example by appending prompts like “Wait” to encourage more thinking or “time is up, my answer is…” to force it to stop."
GPT-5.5,gpt-5.5,q07,1,1.0,1.0,5.438806458958425,1,,"According to the o1 prompting guidance:

- No, you generally should not tell a reasoning model to “think step by step.” Reasoning models do internal reasoning, so chain-of-thought prompts like “think step by step” or “explain your reasoning” are unnecessary and may sometimes hurt performance.
- Developer messages replace system messages. Starting with o1-2024-12-17, reasoning models use developer messages instead of system messages to align with the chain-of-command behavior in the model spec."
GPT-5.5,gpt-5.5,q08,1,1.0,1.0,8.67935191700235,1,,"The **GSM-Symbolic** study concludes that LLMs’ apparent success on grade-school math benchmarks like **GSM8K** does not reliably demonstrate robust mathematical reasoning.

Its main conclusions are:

- **LLM math reasoning is fragile.** Models can perform well on familiar benchmark-style questions, but their accuracy varies significantly across small symbolic variations of the same problem.

- **They are sensitive to superficial changes.** Changing numbers in a problem often affects performance much more than changing names or story context, suggesting models may rely on learned patterns rather than stable abstract reasoning.

- **Complexity hurts performance.** As the number of logical clauses or required reasoning steps increases, model accuracy tends to decline.

- **Single benchmark accuracy is misleading.** A high GSM8K score may overstate a model’s true reasoning ability because it does not test enough variations of the same underlying problem structure.

- **Irrelevant information causes major failures.** In the study’s **GSM-NoOp** setting, researchers added irrelevant but seemingly related information to math problems. Ideally, a reasoning system should ignore it. Instead, LLM performance dropped sharply — in some cases by up to about **65%**. This suggests models often fail to distinguish relevant from irrelevant facts and may incorporate distracting details into their solution.

Overall, the study argues that current LLMs are better described as doing **fragile pattern matching or approximate reasoning** rather than consistently applying formal mathematical logic. It recommends more systematic and varied evaluations beyond standard GSM8K-style accuracy."
GPT-5.5,gpt-5.5,q09,1,1.0,1.0,7.100365790887736,1,,"In **R1-Distill**, the student is trained with **plain SFT**, not logit matching.

Concretely:

- The large teacher model, **DeepSeek-R1**, generates full responses, including `<think>` reasoning traces.
- Those generated sequences are saved offline.
- A smaller student model is then trained to predict those exact token sequences with standard supervised fine-tuning.

So this is **sequence-level reasoning distillation**, not classic distillation where the student matches the teacher’s next-token probability distribution/logits.

At small scale, this works much better than doing RL from scratch. For example, with the same **Qwen-32B** base:

- **R1-Zero-style RL from scratch**: AIME score around **47.0**
- **Distilled from R1**: AIME score around **72.6**

The distilled model also performs better across benchmarks like MATH-500, GPQA, and LiveCodeBench, and can rival models like o1-mini. The takeaway is that for smaller models, **distilling high-quality reasoning traces from a strong teacher is more compute-effective than trying to rediscover reasoning via RL from scratch**."
GPT-5.5,gpt-5.5,q10,1,1.0,1.0,8.199140833108686,1,,"The **KL penalty** in RL fine-tuning acts as a “stay close” constraint. It discourages the updated policy from drifting too far from a trusted reference model, usually the SFT/base model. This matters because the model already has useful language ability and alignment behavior; RL should nudge it toward higher reward, not let it exploit the reward signal by moving into strange or degenerate policy regions.

In short:

> KL regularization enforces that the fine-tuned policy remains close to the reference policy.

It is separate from PPO-style clipping: clipping limits the size of each policy update relative to the old policy, while the KL penalty limits drift from the reference model.

The PPO vs. GRPO distinction is mainly **where the KL term appears**:

| Algorithm | Where the KL term lives |
|---|---|
| **PPO** | KL is usually folded into the reward, often as a per-token penalty before advantage estimation / GAE. |
| **GRPO** | KL appears as a separate explicit term in the objective, e.g. `−β KL(π_θ || π_ref)`. |

So in PPO, the reward is modified:

```text
reward' = reward − β KL
```

and then advantages are estimated from that modified reward.

In GRPO, the policy objective has the usual clipped ratio term plus an explicit KL regularizer:

```text
objective = clipped advantage term − β KL(π_θ || π_ref)
```

Conceptually, both are trying to keep the policy from wandering too far, but PPO bakes the KL into the reward/advantage pipeline, while GRPO keeps it as a direct objective-level penalty."
Claude Opus 4.8,claude-opus-4.8,q01,1,1.0,1.0,5.91505299997516,2,,"In GRPO, you sample a group of G completions for a query, score each with a (verifiable) reward, and compute each completion's advantage **relative to its group**: `Âᵢ = (R(q,oᵢ) − mean(R₁…R_G)) / std(R₁…R_G)`. This same advantage is shared across all tokens of that output. By using this group-relative baseline instead of GAE, GRPO **eliminates the trained value/critic network** that PPO requires, so only the policy is trained."
Claude Opus 4.8,claude-opus-4.8,q02,1,1.0,1.0,8.070183042087592,2,,"Both DAPO (Yu et al., 2025) and Dr. GRPO (""GRPO Done Right,"" Liu et al., 2025) are fixes to GRPO's **length-normalization bias**: the `1/|oᵢ|` per-output factor gives short outputs larger per-token gradients, so short wrong answers get penalized hard while long wrong answers are barely penalized—pushing the model to prefer longer bad outputs (runaway length growth).

The fixes change the normalization: **DAPO** normalizes once over the total tokens in the group (`1/Σ|oᵢ|`) so every token is weighted equally, while **Dr. GRPO** drops the length factor entirely. As a result, response length stops inflating—incorrect-answer length stays flat instead of ballooning—and the model reaches the same reward with far fewer tokens. (DAPO additionally adds ""clip-higher,"" an asymmetric epsilon, to preserve exploration.)"
Claude Opus 4.8,claude-opus-4.8,q03,1,1.0,1.0,4.09167133399751,1,,"The DeepSeek R1 training pipeline has **five stages**. **Stage 2 is small-scale cold-start SFT**: fine-tuning on a few thousand long chains-of-thought (generated by R1-Zero and rewritten by humans for clean formatting and language consistency), serving as an anchor before the RL stage."
Claude Opus 4.8,claude-opus-4.8,q04,1,1.0,1.0,4.530419041984715,1,,"DeepSeek R1-Zero uses a **verifiable format + accuracy reward** (no learned reward model): a formatting reward for placing the chain-of-thought in the required delimiters, plus an accuracy reward verified deterministically (test cases for code, ground-truth comparison for math). Its prompt template requires the model to put its reasoning inside `<think></think>` and the final result inside `<answer></answer>`."
Claude Opus 4.8,claude-opus-4.8,q05,1,1.0,1.0,4.511484457994811,2,,"The two intuitions are:

1. **Decomposition** — breaking a hard problem (unlikely to appear verbatim in training) into smaller sub-problems lets the model fall back on patterns it has actually seen.
2. **More compute** — each generated token is another forward pass, so emitting more reasoning tokens literally buys the model more computation before it commits to an answer (test-time scaling)."
Claude Opus 4.8,claude-opus-4.8,q06,1,1.0,1.0,24.018164791050367,1,,"Two techniques are:

1. **Dynamic budget** — adapting the allowed reasoning length per prompt, e.g., using a lightweight classifier to tag prompts as high- vs. low-thinking (Han et al., 2024).
2. **Budget forcing** (Muennighoff et al., 2025) — injecting tokens mid-chain to steer length, such as appending ""Wait"" to force more thinking or ""…time is up, my answer is"" to force a stop.

(The notes also mention context awareness and continuous/latent thoughts as related approaches.)"
Claude Opus 4.8,claude-opus-4.8,q07,1,1.0,1.0,12.492157957982272,1,,"Based on the o1 prompting guidance: **No**, you should not tell a reasoning model to ""think step by step""—since these models perform reasoning internally, chain-of-thought prompts like ""think step by step"" or ""explain your reasoning"" are unnecessary and can sometimes hinder performance. As for system messages, **developer messages** replace them, starting with o1-2024-12-17, to align with the chain-of-command behavior in the model spec."
Claude Opus 4.8,claude-opus-4.8,q08,1,1.0,1.0,6.72684804094024,1,,"Based on the GSM-Symbolic study:

The study concludes that current LLMs exhibit **fragile mathematical reasoning** that more closely resembles advanced pattern matching than genuine formal logical reasoning. Models show significant performance variance across different versions of the same question—sensitive especially to changes in numerical values—and accuracy declines as the number of logical clauses increases.

Regarding irrelevant information, the researchers introduced **GSM-NoOp**, adding seemingly relevant but inconsequential details to problems. This caused performance drops of up to **65%**, suggesting LLMs tend to mimic reasoning steps from training data rather than truly understanding which information is relevant. The study advocates for more rigorous, diverse evaluations beyond single-point accuracy metrics like GSM8K."
Claude Opus 4.8,claude-opus-4.8,q09,1,1.0,1.0,6.556186125031672,2,,"In reasoning distillation (R1-Distill), the student is trained by **plain SFT**, not logit matching. Because no ready-made reasoning SFT pairs exist, the teacher R1 generates full responses (including `<think>` reasoning traces) offline, and the student is fine-tuned to predict those entire token sequences—rather than matching the teacher's next-token probability distribution as in classic distillation.

At small scale, distillation beats RL-from-scratch: on the same Qwen-32B base, R1-Zero-style RL reaches AIME 47.0, while distilling from R1 reaches AIME 72.6 (and does better across MATH-500/GPQA/LiveCodeBench), even rivaling o1-mini. So distillation is a better use of compute for small models."
Claude Opus 4.8,claude-opus-4.8,q10,1,1.0,1.0,5.864482999895699,2,,"The KL penalty enforces a ""stay close"" constraint, keeping the RL policy from drifting too far from a trusted starting point (typically the reference/SFT model) so training only nudges rather than overhauls the model. The two algorithms place this term differently: in **PPO**, the KL is folded into the reward per-token before advantage estimation, whereas in **GRPO** it appears as a separate explicit term `−β·KL(π_θ ‖ π_ref)` directly in the objective. Note that this KL leash is complementary to the ratio-clipping mechanism, which is a second brake on update size shared by both algorithms."
Gemini 3.1 Pro,gemini-3.1-pro,q01,1,1.0,1.0,8.202378083020449,1,,"In GRPO, the advantage for each completion is computed by scoring a group of completions and judging each one relative to that group. Specifically, it is calculated by taking the completion's reward, subtracting the group's mean reward, and dividing by the group's standard deviation. By using this group-relative baseline instead of a learned per-token value estimator, GRPO entirely eliminates the need to train a Value (or critic) network compared to PPO."
Gemini 3.1 Pro,gemini-3.1-pro,q02,1,1.0,1.0,10.475563416955993,1,,"DAPO and Dr. GRPO are modifications to the GRPO training objective that fix its length-normalization bias, which otherwise causes the model to artificially inflate the length of incorrect answers to avoid harsh penalties. DAPO resolves this by normalizing over the total tokens in a group to equalize token-level weights, while Dr. GRPO simply drops the length factor altogether. By removing this bias, both methods prevent incorrect responses from ballooning in length and allow the model to reach the same reward with far better token efficiency."
Gemini 3.1 Pro,gemini-3.1-pro,q03,1,1.0,1.0,7.188855707994662,1,,"According to the retrieved notes, the DeepSeek R1 training pipeline consists of five stages. Stage 2 involves small-scale cold-start supervised fine-tuning (SFT) to serve as an anchor before reinforcement learning. This stage uses a few thousand long chain-of-thought examples generated by R1-Zero, which are rewritten by humans to ensure clean formatting and language consistency."
Gemini 3.1 Pro,gemini-3.1-pro,q04,1,1.0,1.0,6.8758797500049695,1,,DeepSeek R1-Zero uses a verifiable reward that combines a formatting reward and an accuracy reward. Its simple prompt template requires the model to place its reasoning inside `<think></think>` delimiters and its final result inside `<answer></answer>` delimiters.
Gemini 3.1 Pro,gemini-3.1-pro,q05,1,1.0,1.0,9.10424229199998,1,,"Based on the notes, two main intuitions explain why chain-of-thought helps. First, **decomposition** allows the model to break difficult, unseen problems into smaller sub-problems that match familiar patterns from its training data. Second, generating reasoning tokens provides the model with **more compute**, as every additional token requires another full forward pass before the model commits to a final answer."
Gemini 3.1 Pro,gemini-3.1-pro,q06,1,1.0,1.0,10.558525957982056,1,,"Based on the provided notes, two techniques for controlling a reasoning model's thinking budget are **dynamic budget** and **budget forcing**. A dynamic budget adapts the allowed reasoning length to the prompt, such as using a classifier to tag prompts as needing high or low amounts of thought. Budget forcing works by injecting tokens mid-chain to steer the reasoning length, like appending ""Wait"" to force more thinking or ""…time is up, my answer is"" to force a stop."
Gemini 3.1 Pro,gemini-3.1-pro,q07,1,1.0,1.0,8.403339582961053,1,,"According to the o1 prompting guidance, you should avoid telling the model to ""think step by step"" because it already performs reasoning internally, and such prompts are unnecessary or may even hinder performance. Additionally, starting with o1-2024-12-17, ""developer messages"" have replaced system messages to align with the model's chain of command behavior."
Gemini 3.1 Pro,gemini-3.1-pro,q08,1,1.0,1.0,8.346847167005762,1,,"Based on the GSM-Symbolic study, current LLMs exhibit fragile mathematical reasoning that resembles advanced pattern matching rather than genuine formal logic. When irrelevant information is added to questions, LLM performance drops by up to 65%, highlighting this fragility. Ultimately, the study concludes that these models tend to merely mimic reasoning steps from their training data, underscoring the need for more rigorous and diverse evaluation methods."
Gemini 3.1 Pro,gemini-3.1-pro,q09,1,1.0,1.0,10.052448707981966,1,,"Based on the notes, reasoning distillation (R1-Distill) trains the smaller student model using plain supervised fine-tuning (SFT) on the teacher's generated reasoning traces, rather than through logit matching. At a small scale, this distillation approach significantly outperforms running reinforcement learning (RL) from scratch. For example, on a 32B parameter base model, RL-from-scratch achieved an AIME score of 47.0, whereas distilling from R1 produced a much higher score of 72.6."
Gemini 3.1 Pro,gemini-3.1-pro,q10,1,1.0,1.0,7.7374766250140965,1,,"Based on the retrieved notes, the KL penalty in RL fine-tuning enforces a ""stay close"" constraint to ensure the policy does not drift too far from a trusted starting point, such as the reference or SFT model. The two algorithms differ in where this penalty is applied: in PPO, the KL term is folded directly into the per-token reward before advantage estimation. In contrast, GRPO includes the KL penalty as a separate, explicit term in its objective function."
